rid,rname_row,did,dname_row,count,rname,dname
6,Azad Jammu and Kashmir,132,Poonch,1,Azad Jammu and Kashmir,Poonch
6,Azad Jammu and Kashmir,15,Bagh,1,Azad Jammu and Kashmir,Bagh
6,Azad Jammu and Kashmir,129,Hattian,1,Azad Jammu and Kashmir,Hattian
5,Gilgit-Baltistan,83,Skardu,1,Gilgit-Baltistan,Skardu
6,Azad Jammu and Kashmir,84,Mirpur,1,Azad Jammu and Kashmir,Mirpur
6,Azad Jammu and Kashmir,85,Neelum,1,Azad Jammu and Kashmir,Neelum
6,Azad Jammu and Kashmir,134,Sudhnati,1,Azad Jammu and Kashmir,Sudhnati
6,Azad Jammu and Kashmir,131,Kotli,1,Azad Jammu and Kashmir,Kotli
6,Azad Jammu and Kashmir,133,Haveli,1,Azad Jammu and Kashmir,Haveli
6,Azad Jammu and Kashmir,14,Muzaffarabad,1,Azad Jammu and Kashmir,Muzaffarabad
6,Azad Jammu and Kashmir,130,Bhimber,1,Azad Jammu and Kashmir,Bhimber
1,Punjab,47,Vehari,1,Punjab,Vehari
5,Gilgit-Baltistan,125,Ghanche,1,Gilgit-Baltistan,Ghanche
5,Gilgit-Baltistan,126,Astore,1,Gilgit-Baltistan,Astore
5,Gilgit-Baltistan,32,Gilgit,1,Gilgit-Baltistan,Gilgit
5,Gilgit-Baltistan,127,Ghizer,1,Gilgit-Baltistan,Ghizer
1,Punjab,34,Attock,1,Punjab,Attock
5,Gilgit-Baltistan,128,Hunza,0,Gilgit-Baltistan,Hunza-Nagar
5,Gilgit-Baltistan,204,Nagar,0,Gilgit-Baltistan,Hunza-Nagar
5,Gilgit-Baltistan,82,Diamer,1,Gilgit-Baltistan,Diamer
1,Punjab,4,Jhang,1,Punjab,Jhang
1,Punjab,37,Chakwal,1,Punjab,Chakwal
1,Punjab,5,Kasur,1,Punjab,Kasur
1,Punjab,41,Lodhran,1,Punjab,Lodhran
1,Punjab,78,Hafizabad,1,Punjab,Hafizabad
1,Punjab,44,Rajanpur,1,Punjab,Rajanpur
1,Punjab,12,Sargodha,1,Punjab,Sargodha
1,Punjab,3,Faisalabad,1,Punjab,Faisalabad
1,Punjab,10,Rahim Yar Khan,1,Punjab,Rahim Yar Khan
1,Punjab,8,Multan,1,Punjab,Multan
1,Punjab,11,Rawalpindi,1,Punjab,Rawalpindi
1,Punjab,42,Mandi Bahuddin,1,Punjab,Mandi Bahuddin
1,Punjab,36,Bahawalpur,1,Punjab,Bahawalpur
1,Punjab,13,Sheikhupura,1,Punjab,Sheikhupura
1,Punjab,1,Lahore,1,Punjab,Lahore
1,Punjab,38,Gujranwala,1,Punjab,Gujranwala
1,Punjab,94,Okara,1,Punjab,Okara
1,Punjab,39,Jehlum,1,Punjab,Jehlum
1,Punjab,9,Nankana Sahib,1,Punjab,Nankana Sahib
1,Punjab,95,Pakpattan,1,Punjab,Pakpattan
