"category","Provinces","share"
"Government","Azad Kashmir",0.469031781226903
"Government","Balochistan",0.886066941499804
"Government","Gilgit-Baltistan",0.647251114413076
"Government","Islamabad - ICT",0.454468085106383
"Government","Khyber Pakhtunkhwa",0.729211016498137
"Government","Khyber Pakhtunkhwa Merged Region",0.79144549580737
"Government","Punjab",0.714835723401034
"Government","Sindh",0.857381211461734
"Government","Grand Total",0.756791525597068
"Madrasah","Azad Kashmir",0.0104212860310421
"Madrasah","Balochistan",0.0677021986650962
"Madrasah","Gilgit-Baltistan",0.012184249628529
"Madrasah","Islamabad - ICT",0.00765957446808511
"Madrasah","Khyber Pakhtunkhwa",0.0192589143161256
"Madrasah","Khyber Pakhtunkhwa Merged Region",0.0452342487883683
"Madrasah","Punjab",0.00960352994614237
"Madrasah","Sindh",0.0319550235763511
"Madrasah","Grand Total",0.0299543015238208
"Private","Azad Kashmir",0.513525498891353
"Private","Balochistan",0.0380104043973302
"Private","Gilgit-Baltistan",0.326968796433878
"Private","Islamabad - ICT",0.488510638297872
"Private","Khyber Pakhtunkhwa",0.244877594465141
"Private","Khyber Pakhtunkhwa Merged Region",0.156550503884914
"Private","Punjab",0.263707741223801
"Private","Sindh",0.0955749002538992
"Private","Grand Total",0.202903387285166
"Other","Azad Kashmir",0.00702143385070214
"Other","Balochistan",0.00822045543776993
"Other","Gilgit-Baltistan",0.0135958395245171
"Other","Islamabad - ICT",0.0493617021276596
"Other","Khyber Pakhtunkhwa",0.00665247472059606
"Other","Khyber Pakhtunkhwa Merged Region",0.00676975151934764
"Other","Punjab",0.0118530054290226
"Other","Sindh",0.015088864708016
"Other","Grand Total",0.0103507855939456
