"category","windex","share"
"Beginner/Nothing","Poor",0.337928560446882
"Capital letters","Poor",0.12437861938195
"Small letters","Poor",0.177215189873418
"Words","Poor",0.233434120842515
"Sentences","Poor",0.127043509455235
"Beginner/Nothing","Relatively Poor",0.245692276505169
"Capital letters","Relatively Poor",0.124417190350699
"Small letters","Relatively Poor",0.198611392661666
"Words","Relatively Poor",0.258868842489357
"Sentences","Relatively Poor",0.172410297993108
"Beginner/Nothing","Relatively Rich",0.217753623188406
"Capital letters","Relatively Rich",0.135766045548654
"Small letters","Relatively Rich",0.200621118012422
"Words","Relatively Rich",0.260351966873706
"Sentences","Relatively Rich",0.185507246376812
"Beginner/Nothing","Rich",0.168034682080925
"Capital letters","Rich",0.090635838150289
"Small letters","Rich",0.166416184971098
"Words","Rich",0.291156069364162
"Sentences","Rich",0.283757225433526
