category,provinces,share
Law and order,Azad Kashmir,0.066274719
Law and order,Balochistan,0.291822555
Law and order,Gilgit-Baltistan,0.033671833
Law and order,Islamabad,0.005344735
Law and order,Khyber Pakhtunkhwa,0.272047034
Law and order,Punjab,0.233564939
Law and order,Sind,0.097274185
Poverty,Azad Kashmir,0.010555795
Poverty,Balochistan,0.455407152
Poverty,Gilgit-Baltistan,0.027574321
Poverty,Islamabad,0.004954761
Poverty,Khyber Pakhtunkhwa,0.193451099
Poverty,Punjab,0.222533391
Poverty,Sind,0.085523481
Migration,Azad Kashmir,0.083333333
Migration,Balochistan,0
Migration,Gilgit-Baltistan,0
Migration,Islamabad,0
Migration,Khyber Pakhtunkhwa,0.722222222
Migration,Punjab,0.194444444
Migration,Sind,0
Flood,Azad Kashmir,0.272727273
Flood,Balochistan,0.2
Flood,Gilgit-Baltistan,0
Flood,Islamabad,0
Flood,Khyber Pakhtunkhwa,0.272727273
Flood,Punjab,0.218181818
Flood,Sind,0.036363636
Illness,Azad Kashmir,0.142857143
Illness,Balochistan,0.285714286
Illness,Gilgit-Baltistan,0.142857143
Illness,Islamabad,0
Illness,Khyber Pakhtunkhwa,0.142857143
Illness,Punjab,0.285714286
Illness,Sind,0
Building Shift,Azad Kashmir,0.142857143
Building Shift,Balochistan,0.142857143
Building Shift,Gilgit-Baltistan,0.028571429
Building Shift,Islamabad,0
Building Shift,Khyber Pakhtunkhwa,0.257142857
Building Shift,Punjab,0.114285714
Building Shift,Sind,0.314285714
Other,Azad Kashmir,0.021989985
Other,Balochistan,0.59721315
Other,Gilgit-Baltistan,0.027868496
Other,Islamabad,0.002612671
Other,Khyber Pakhtunkhwa,0.168081864
Other,Punjab,0.133463967
Other,Sind,0.048769867
