"category","provinces","share"
"Female (ce)","Azad Kashmir",0.475018477457502
"Female (ce)","Balochistan",0.36729485669415
"Female (ce)","Gilgit-Baltistan",0.426225854383358
"Female (ce)","Islamabad - ICT",0.451063829787234
"Female (ce)","Khyber Pakhtunkhwa",0.381985098456626
"Female (ce)","Punjab",0.437393203988493
"Female (ce)","Sindh",0.400108735048931
"Female (ce)","Grand Total",0.397614677911551
"Male (ce)","Azad Kashmir",0.524981522542498
"Male (ce)","Balochistan",0.63270514330585
"Male (ce)","Gilgit-Baltistan",0.573774145616642
"Male (ce)","Islamabad - ICT",0.548936170212766
"Male (ce)","Khyber Pakhtunkhwa",0.618014901543374
"Male (ce)","Punjab",0.562606796011507
"Male (ce)","Sindh",0.599891264951069
"Male (ce)","Grand Total",0.602385322088449
"Female (do)","Azad Kashmir",0.481707317073171
"Female (do)","Balochistan",0.60720871751886
"Female (do)","Gilgit-Baltistan",0.392330383480826
"Female (do)","Islamabad - ICT",0.38
"Female (do)","Khyber Pakhtunkhwa",0.567994939911448
"Female (do)","Punjab",0.459548254620123
"Female (do)","Sindh",0.50261780104712
"Female (do)","Grand Total",0.544473538046497
"Male (do)","Azad Kashmir",0.518292682926829
"Male (do)","Balochistan",0.39279128248114
"Male (do)","Gilgit-Baltistan",0.607669616519174
"Male (do)","Islamabad - ICT",0.62
"Male (do)","Khyber Pakhtunkhwa",0.432005060088552
"Male (do)","Punjab",0.540451745379877
"Male (do)","Sindh",0.49738219895288
"Male (do)","Grand Total",0.455526461953503
"Female (ne)","Azad Kashmir",0.5
"Female (ne)","Balochistan",0.544690603514133
"Female (ne)","Gilgit-Baltistan",0.570222822417286
"Female (ne)","Islamabad - ICT",0.475
"Female (ne)","Khyber Pakhtunkhwa",0.536628420123566
"Female (ne)","Punjab",0.497577118543907
"Female (ne)","Sindh",0.519954677074153
"Female (ne)","Grand Total",0.535325282174471
"Male (ne)","Azad Kashmir",0.475108225108225
"Male (ne)","Balochistan",0.45335179526356
"Male (ne)","Gilgit-Baltistan",0.419986495611074
"Male (ne)","Islamabad - ICT",0.525
"Male (ne)","Khyber Pakhtunkhwa",0.459743061684809
"Male (ne)","Punjab",0.496631603829335
"Male (ne)","Sindh",0.472995090016367
"Male (ne)","Grand Total",0.460166507617888
"N/A (ne)","Azad Kashmir",0.0248917748917749
"N/A (ne)","Balochistan",0.0019576012223071
"N/A (ne)","Gilgit-Baltistan",0.00979068197164078
"N/A (ne)","Islamabad - ICT",0
"N/A (ne)","Khyber Pakhtunkhwa",0.00362851819162499
"N/A (ne)","Punjab",0.00579127762675807
"N/A (ne)","Sindh",0.00705023290948005
"N/A (ne)","Grand Total",0.00450821020764092
