category,"provinces","share"
"Poorest (do)","Azad Kashmir",0.317073170731707
"Poorest (do)","Balochistan",0.340821458507963
"Poorest (do)","Gilgit-Baltistan",0.448377581120944
"Poorest (do)","Islamabad - ICT",0.36
"Poorest (do)","Khyber Pakhtunkhwa",0.283225960391315
"Poorest (do)","Punjab",0.165913757700205
"Poorest (do)","Sindh",0.306806282722513
"Poorest (do)","Grand Total",0.332539871459176
"Poor (do)","Azad Kashmir",0.25
"Poor (do)","Balochistan",0.288181056160939
"Poor (do)","Gilgit-Baltistan",0.286135693215339
"Poor (do)","Islamabad - ICT",0.44
"Poor (do)","Khyber Pakhtunkhwa",0.24066742081448
"Poor (do)","Punjab",0.2217659137577
"Poor (do)","Sindh",0.235602094240838
"Poor (do)","Grand Total",0.280568118701896
"Rich (do)","Azad Kashmir",0.246951219512195
"Rich (do)","Balochistan",0.27929589270746
"Rich (do)","Gilgit-Baltistan",0.221238938053097
"Rich (do)","Islamabad - ICT",0.1
"Rich (do)","Khyber Pakhtunkhwa",0.0906612133605999
"Rich (do)","Punjab",0.250102669404517
"Rich (do)","Sindh",0.242931937172775
"Rich (do)","Grand Total",0.232801713877648
"Richest (do)","Azad Kashmir",0.185975609756098
"Richest (do)","Balochistan",0.0917015926236379
"Richest (do)","Gilgit-Baltistan",0.0442477876106195
"Richest (do)","Islamabad - ICT",0.1
"Richest (do)","Khyber Pakhtunkhwa",0.116889804325438
"Richest (do)","Punjab",0.362217659137577
"Richest (do)","Sindh",0.214659685863874
"Richest (do)","Grand Total",0.154090295961279
"Poorest (ne)","Azad Kashmir",0.182359307359307
"Poorest (ne)","Balochistan",0.336229946524064
"Poorest (ne)","Gilgit-Baltistan",0.276839972991222
"Poorest (ne)","Islamabad - ICT",0.18125
"Poorest (ne)","Khyber Pakhtunkhwa",0.376619650968205
"Poorest (ne)","Punjab",0.188984753575228
"Poorest (ne)","Sindh",0.404255319148936
"Poorest (ne)","Grand Total",0.344121228075949
"Poor (ne)","Azad Kashmir",0.204004329004329
"Poor (ne)","Balochistan",0.2606474407945
"Poor (ne)","Gilgit-Baltistan",0.353139770425388
"Poor (ne)","Islamabad - ICT",0.4
"Poor (ne)","Khyber Pakhtunkhwa",0.356295564067713
"Poor (ne)","Punjab",0.209786077295828
"Poor (ne)","Sindh",0.213773133576734
"Poor (ne)","Grand Total",0.266313468689328
"Rich (ne)","Azad Kashmir",0.349025974025974
"Rich (ne)","Balochistan",0.301804812834225
"Rich (ne)","Gilgit-Baltistan",0.271775827143822
"Rich (ne)","Islamabad - ICT",0.24375
"Rich (ne)","Khyber Pakhtunkhwa",0.169892946179792
"Rich (ne)","Punjab",0.214159082850727
"Rich (ne)","Sindh",0.213899030592975
"Rich (ne)","Grand Total",0.224390404422653
"Richest (ne)","Azad Kashmir",0.26461038961039
"Richest (ne)","Balochistan",0.101317799847212
"Richest (ne)","Gilgit-Baltistan",0.0982444294395679
"Richest (ne)","Islamabad - ICT",0.175
"Richest (ne)","Khyber Pakhtunkhwa",0.24892917621277
"Richest (ne)","Punjab",0.387070086278218
"Richest (ne)","Sindh",0.168072516681355
"Richest (ne)","Grand Total",0.16517489881207
