"category","windex","share"
"Never enrolled","Poor",0.156492038293164
"Drop-out","Poor",0.0573916390051474
"Out of School","Poor",0.213883677
"Never enrolled","Relatively Poor",0.0886205294937297
"Drop-out","Relatively Poor",0.0394797956339991
"Out of School","Relatively Poor",0.128100325
"Never enrolled","Relatively Rich",0.0596635091191856
"Drop-out","Relatively Rich",0.0308685611951553
"Out of School","Relatively Rich",0.09053207
"Never enrolled","Rich",0.0345802413044576
"Drop-out","Rich",0.0221616436973093
"Out of School","Rich",0.056741885
